congress,chamber,icpsr,nominate_dim1,bioname,bioguide_id,party_code,littlesis,party,color,projection-1d,projection-2d_x,projection-2d_y
117,House,29504,-0.4,"LOFGREN, Zoe",L000397,100,43069,Democrat,red,0.35902178287506104,0.3946857452392578,0.1404726505279541
117,House,29707,-0.344,"SHERMAN, Brad",S000344,100,13588,Democrat,red,0.3481295108795166,0.4965786933898926,0.14450693130493164
117,House,29778,-0.677,"LEE, Barbara",L000551,100,13409,Democrat,red,0.35469305515289307,0.4606485366821289,0.09484601020812988
117,House,29901,-0.393,"THOMPSON, Michael",T000460,100,13630,Democrat,red,-0.03799891471862793,0.04647839069366455,-0.010889649391174316
117,House,29903,-0.448,"NAPOLITANO, Grace Flores",N000179,100,13495,Democrat,red,-0.7440953254699707,-0.31489044427871704,-0.6682260632514954
117,House,20704,0.666,"LAMBORN, Doug",L000564,200,13396,Republican,blue,0.010915517807006836,-0.31603825092315674,0.43533051013946533
117,House,20705,-0.282,"PERLMUTTER, Ed",P000593,100,13518,Democrat,red,0.37287259101867676,0.35352277755737305,0.19373345375061035
117,House,21510,0.711,"BUCK, Kenneth Robert",B001297,200,96423,Republican,blue,0.10863101482391357,-0.2774662971496582,0.4649384021759033
117,House,21912,-0.301,"CROW, Jason",C001121,100,337036,Democrat,red,0.42929697036743164,0.5170745849609375,0.2506016492843628
117,House,21948,-0.391,"NEGUSE, Joseph",N000191,100,315901,Democrat,red,-0.6001847386360168,0.04681098461151123,-0.7738009691238403
117,House,22103,0.758,"BOEBERT, Lauren",B000825,200,416180,Republican,blue,-0.32341527938842773,-0.20966684818267822,-0.2466142177581787
117,House,29710,-0.431,"DeGETTE, Diana",D000197,100,13238,Democrat,red,0.3453037738800049,0.28452634811401367,0.16585326194763184
117,House,20706,-0.342,"COURTNEY, Joe",C001069,100,13215,Democrat,red,0.43750429153442383,0.4633826017379761,0.3610360622406006
117,House,20907,-0.239,"HIMES, James A.",H001047,100,29177,Democrat,red,0.42140698432922363,0.33797895908355713,0.26660215854644775
117,House,21931,-0.374,"HAYES, Jahana",H001081,100,337037,Democrat,red,-0.20316052436828613,0.3835411071777344,-0.1590888500213623
117,House,29109,-0.414,"DeLAURO, Rosa L.",D000216,100,13240,Democrat,red,0.3709985017776489,0.3206939697265625,0.18370747566223145
117,House,29908,-0.396,"LARSON, John B.",L000557,100,13402,Democrat,red,0.08050298690795898,0.03680920600891113,0.033313870429992676
117,House,21706,-0.338,"BLUNT ROCHESTER, Lisa",B001303,100,245146,Democrat,red,-0.626907467842102,0.0751497745513916,-0.6670248508453369
117,House,21993,-0.496,"NORTON, Eleanor Holmes",N000147,100,13500,Democrat,red,-0.3869287967681885,-0.30050522089004517,-0.3283916711807251
117,House,20316,0.286,"DIAZ-BALART, Mario",D000600,200,13245,Republican,blue,0.04601454734802246,-0.06293350458145142,0.12103307247161865
117,House,20504,-0.418,"WASSERMAN SCHULTZ, Debbie",W000797,100,13654,Democrat,red,0.5186290740966797,0.4982914924621582,0.4562419652938843
117,House,20708,-0.438,"CASTOR, Kathy",C001066,100,13177,Democrat,red,-0.9289065003395081,-0.36111980676651,-0.4189113974571228
117,House,20709,0.362,"BUCHANAN, Vernon G.",B001260,200,13134,Republican,blue,-0.006101369857788086,-0.14010733366012573,0.09119975566864014
117,House,20758,0.41,"BILIRAKIS, Gus",B001257,200,13067,Republican,blue,-0.17977142333984375,-0.29742568731307983,-0.0849267840385437
117,House,20909,0.527,"POSEY, Bill",P000599,200,31925,Republican,blue,-0.8975219130516052,-0.5778747797012329,-0.6596858501434326
117,House,20959,-0.401,"DEUTCH, Theodore E. (Ted)",D000610,100,91496,Democrat,red,0.4684009552001953,0.48571717739105225,0.45129597187042236
117,House,21116,0.527,"WEBSTER, Daniel A.",W000806,200,31213,Republican,blue,-0.1276509165763855,-0.21917188167572021,-0.042154669761657715
117,House,21118,-0.48,"WILSON, Frederica",W000808,100,91635,Democrat,red,-0.5413029193878174,0.3469827175140381,-0.5816009044647217
117,House,21321,-0.402,"FRANKEL, Lois",F000462,100,59342,Democrat,red,0.21462655067443848,0.1823112964630127,-0.00011247396469116211
117,House,21712,-0.227,"CRIST, Charlie Joseph Jr.",C001111,100,284886,Democrat,red,0.23208415508270264,0.034740328788757324,0.32747018337249756
117,House,21713,-0.322,"DEMINGS, Valdez Butler",D000627,100,117216,Democrat,red,0.23129117488861084,0.19276940822601318,-0.010324597358703613
117,House,21714,0.504,"DUNN, Neal Patrick",D000628,200,284880,Republican,blue,-0.5884668827056885,0.2535569667816162,-0.49315816164016724
117,House,21719,0.599,"GAETZ, Matthew L. II",G000578,200,284879,Republican,blue,-0.8982118368148804,0.20675444602966309,-0.39542263746261597
117,House,21732,-0.26,"LAWSON, Alfred Jr.",L000586,100,284882,Democrat,red,-0.5140001177787781,-0.055624961853027344,-0.4243025779724121
117,House,21735,0.462,"MAST, Brian Jeffery",M001199,200,284887,Republican,blue,-0.08122509717941284,-0.33524084091186523,0.06176102161407471
117,House,21738,-0.161,"MURPHY, Stephanie",M001202,100,284883,Democrat,red,0.23740100860595703,0.1910616159439087,0.04332089424133301
117,House,21744,0.434,"RUTHERFORD, John Henry",R000609,200,284881,Republican,blue,-0.6233483552932739,-0.03888523578643799,-0.6483203172683716
117,House,21746,-0.368,"SOTO, Darren Michael",S001200,100,284884,Democrat,red,-0.6313626170158386,0.061900973320007324,-0.7181549072265625
117,House,21971,0.688,"STEUBE, William",S001214,200,337039,Republican,blue,-0.3637455105781555,-0.1541426181793213,-0.23082154989242554
117,House,21981,0.423,"WALTZ, Michael",W000823,200,275066,Republican,blue,-0.017018556594848633,-0.09592127799987793,0.08006405830383301
117,House,22107,0.586,"CAMMACK, Kat",C001039,200,400744,Republican,blue,-0.5218921303749084,-0.02439558506011963,-0.40083926916122437
117,House,22111,0.645,"DONALDS, Byron",D000032,200,336301,Republican,blue,-0.5288097262382507,-0.10027486085891724,-0.4665619730949402
117,House,22116,0.597,"FRANKLIN, C. Scott",F000472,200,400745,Republican,blue,-0.4803776741027832,-0.08370119333267212,-0.3924561142921448
117,House,22118,0.316,"GIMENEZ, Carlos A.",G000593,200,417594,Republican,blue,-0.5187035799026489,-0.0253257155418396,-0.34968292713165283
117,House,22150,0.274,"SALAZAR, Maria Elvira",S000168,200,416742,Republican,blue,-0.3574334383010864,-0.6526968479156494,-0.40081995725631714
117,House,22163,-0.619,"CHERFILUS-MCCORMICK, Sheila",C001127,100,421505,Democrat,red,-0.5270112752914429,-0.09552818536758423,-0.4680132269859314
117,House,29337,-0.564,"HASTINGS, Alcee Lamar",H000324,100,13327,Democrat,red,-0.16651159524917603,0.40778660774230957,-0.5662002563476562
117,House,20321,-0.304,"SCOTT, David",S001157,100,13577,Democrat,red,-0.4290914535522461,-0.21583586931228638,-0.33963102102279663
117,House,20712,-0.47,"JOHNSON, Hank",J000288,100,13364,Democrat,red,-0.6981692314147949,-0.294904887676239,-0.7466610074043274
117,House,21123,0.558,"SCOTT, Austin",S001189,200,91626,Republican,blue,-0.6991512775421143,-0.2698431611061096,-0.8564695715904236
117,House,21513,0.554,"CARTER, Buddy",C001103,200,216631,Republican,blue,-0.5501046180725098,-0.24764031171798706,-0.6305296421051025
117,House,21514,0.797,"HICE, Jody Brownlow",H001071,200,108697,Republican,blue,-0.36935341358184814,-0.16008704900741577,-0.2845049500465393
117,House,21515,0.683,"LOUDERMILK, Barry D.",L000583,200,216632,Republican,blue,-0.5771784782409668,-0.02496999502182007,-0.80225670337677
117,House,21516,0.696,"ALLEN, Rick W.",A000372,200,127936,Republican,blue,-0.6980400085449219,-0.10251307487487793,-0.8603941202163696
117,House,21717,0.602,"FERGUSON, Anderson Drew IV",F000465,200,284889,Republican,blue,-0.5549057722091675,-0.23961347341537476,-0.5922784805297852
117,House,21944,-0.3,"McBATH, Lucy",M001208,100,337042,Democrat,red,0.411234974861145,0.34280717372894287,0.23966407775878906
117,House,22104,-0.303,"BOURDEAUX, Carolyn",B001312,100,416457,Democrat,red,-0.42261576652526855,-0.5078380107879639,-0.4118204116821289
117,House,22110,0.823,"CLYDE, Andrew S.",C001116,200,290190,Republican,blue,-0.5091121196746826,-0.11090761423110962,-0.44661372900009155
117,House,22121,0.8,"GREENE, Marjorie Taylor",G000596,200,380608,Republican,blue,-0.053615033626556396,-0.07875925302505493,-0.016070127487182617
117,House,22156,-0.438,"WILLIAMS, Nikema",W000788,100,419854,Democrat,red,-0.6872051954269409,-0.027935683727264404,-0.5498902201652527
117,House,29339,-0.284,"BISHOP, Sanford Dixon, Jr.",B000490,100,13075,Democrat,red,-0.2395039200782776,-0.3795057535171509,-0.17526185512542725
117,House,21997,-0.41,"SAN NICOLAS, Michael",S001204,100,337043,Democrat,red,-0.5288097262382507,-0.10027486085891724,-0.4665619730949402
117,House,20322,-0.196,"CASE, Ed",C001055,100,13689,Democrat,red,-0.747438907623291,-0.34452491998672485,-0.7055778503417969
117,House,22128,-0.353,"KAHELE, Kaialiʻi",K000396,100,400752,Democrat,red,-0.6849492788314819,0.007044553756713867,-0.514255166053772
117,House,21920,0.641,"FULCHER, Russell",F000469,200,337045,Republican,blue,-0.2241823673248291,-0.21206343173980713,-0.1584516167640686
117,House,29910,0.301,"SIMPSON, Michael K.",S001148,200,13592,Republican,blue,-0.3254393935203552,-0.2638036608695984,-0.23220229148864746
117,House,20749,-0.232,"FOSTER, Bill",F000454,100,13292,Democrat,red,0.5371298789978027,0.404954195022583,0.44331634044647217
117,House,20954,-0.323,"QUIGLEY, Mike",Q000023,100,42521,Democrat,red,-0.4329748749732971,-0.44255518913269043,-0.46976399421691895
117,House,21128,0.234,"KINZINGER, Adam",K000378,200,42583,Republican,blue,-0.030971884727478027,-0.40693020820617676,0.11822426319122314
117,House,21326,-0.185,"SCHNEIDER, Brad",S001190,100,99225,Democrat,red,0.4815326929092407,0.4126697778701782,0.38799381256103516
117,House,21328,0.279,"DAVIS, Rodney",D000619,200,127794,Republican,blue,-0.06501126289367676,-0.18298792839050293,0.04228198528289795
117,House,21329,-0.239,"BUSTOS, Cheri",B001286,100,117231,Democrat,red,0.5524096488952637,0.3814280033111572,0.4511352777481079
117,House,21371,-0.465,"KELLY, Robin L.",K000385,100,127931,Democrat,red,-0.620554506778717,-0.13131707906723022,-0.5664254426956177
117,House,21519,0.316,"BOST, Mike",B001295,200,216636,Republican,blue,-0.22481095790863037,-0.44520634412765503,0.07874488830566406
117,House,21562,0.458,"LaHOOD, Darin",L000585,200,194169,Republican,blue,-0.4378143548965454,-0.24460560083389282,-0.4057399034500122
117,House,21730,-0.319,"KRISHNAMOORTHI, S. Raja",K000391,100,284890,Democrat,red,0.31399405002593994,0.3885897397994995,0.05278921127319336
117,House,21906,-0.672,"CASTEN, Sean",C001117,100,331837,Democrat,red,0.3263744115829468,0.3475375175476074,0.10147535800933838
117,House,21921,-0.448,"GARCÍA, Jesús",G000586,100,337046,Democrat,red,-0.5054622888565063,-0.12799185514450073,-0.46241891384124756
117,House,21979,-0.555,"UNDERWOOD, Lauren",U000040,100,337047,Democrat,red,0.45633411407470703,0.34303057193756104,0.29692816734313965
117,House,22138,0.806,"MILLER, Mary E.",M001211,200,418553,Republican,blue,-0.32941776514053345,-0.09008651971817017,-0.19700568914413452
117,House,22144,-0.588,"NEWMAN, Marie",N000192,100,418077,Democrat,red,-0.41934967041015625,0.18954801559448242,-0.19787436723709106
